iter	Passed	Remaining
0	3	3807
1	7	3968
2	11	3933
3	15	3884
4	21	4189
5	25	4165
6	29	4175
7	33	4183
8	40	4454
9	47	4723
10	56	5045
11	63	5201
12	71	5415
13	78	5518
14	82	5411
15	87	5411
16	91	5305
17	95	5224
18	100	5163
19	105	5160
20	109	5101
21	113	5030
22	118	5029
23	121	4943
24	125	4885
25	129	4848
26	134	4835
27	138	4810
28	142	4764
29	146	4724
30	151	4730
31	155	4691
32	159	4659
33	162	4624
34	169	4662
35	172	4630
36	176	4598
37	180	4572
38	185	4579
39	189	4550
40	193	4521
41	197	4511
42	203	4518
43	207	4501
44	211	4483
45	216	4490
46	220	4470
47	224	4450
48	228	4429
49	234	4446
50	237	4424
51	241	4405
52	245	4394
53	250	4395
54	254	4380
55	258	4362
56	263	4363
57	267	4351
58	271	4333
59	275	4318
60	280	4324
61	285	4313
62	289	4298
63	292	4284
64	298	4296
65	302	4282
66	306	4266
67	310	4252
68	315	4259
69	319	4246
70	323	4236
71	328	4233
72	333	4229
73	337	4217
74	341	4206
75	346	4210
76	350	4198
77	353	4184
78	357	4171
79	364	4191
80	368	4177
81	372	4167
82	377	4168
83	381	4160
84	385	4148
85	389	4135
86	394	4138
87	398	4127
88	402	4115
89	405	4103
90	411	4108
91	415	4096
92	419	4088
93	423	4079
94	429	4091
95	433	4079
96	437	4069
97	441	4062
98	445	4054
99	449	4045
100	453	4035
101	457	4030
102	462	4028
103	466	4016
104	470	4006
105	475	4009
106	479	4001
107	483	3990
108	487	3982
109	493	3989
110	497	3981
111	500	3971
112	504	3961
113	510	3965
114	514	3955
115	518	3949
116	526	3974
117	530	3964
118	534	3959
119	542	3980
120	549	3995
121	559	4025
122	566	4037
123	573	4053
124	577	4044
125	582	4037
126	586	4028
127	592	4033
128	596	4025
129	599	4015
130	604	4009
131	608	4001
132	612	3992
133	616	3982
134	620	3978
135	625	3976
136	629	3967
137	633	3958
138	638	3957
139	642	3948
140	646	3938
141	650	3929
142	656	3934
143	660	3925
144	664	3917
145	669	3915
146	674	3914
147	678	3905
148	682	3897
149	688	3898
150	692	3891
151	695	3882
152	699	3872
153	705	3874
154	709	3865
155	713	3858
156	717	3851
157	723	3852
158	726	3844
159	730	3837
160	735	3833
161	739	3825
162	743	3816
163	747	3808
164	753	3811
165	756	3802
166	760	3795
167	764	3786
168	770	3787
169	774	3779
170	777	3770
171	781	3764
172	787	3765
173	791	3757
174	795	3748
175	799	3745
176	804	3739
177	808	3732
178	812	3725
179	818	3728
180	822	3720
181	825	3712
182	830	3706
183	835	3705
184	839	3698
185	843	3691
186	848	3687
187	853	3684
188	857	3677
189	860	3670
190	866	3668
191	869	3660
192	873	3654
193	877	3647
194	883	3649
195	888	3643
196	894	3644
197	902	3654
198	909	3660
199	918	3674
200	925	3677
201	933	3686
202	940	3692
203	947	3698
204	952	3692
205	956	3685
206	959	3677
207	965	3675
208	969	3667
209	972	3660
210	976	3652
211	982	3653
212	986	3645
213	990	3637
214	994	3632
215	998	3625
216	1002	3618
217	1006	3610
218	1010	3604
219	1016	3602
220	1019	3594
221	1024	3588
222	1029	3587
223	1036	3591
224	1044	3598
225	1052	3602
226	1059	3608
227	1066	3611
228	1070	3604
229	1074	3597
230	1080	3597
231	1084	3589
232	1086	3576
233	1090	3570
234	1096	3567
235	1099	3560
236	1103	3553
237	1108	3548
238	1113	3544
239	1116	3537
240	1121	3531
241	1126	3528
242	1130	3521
243	1134	3514
244	1138	3507
245	1143	3505
246	1147	3498
247	1151	3491
248	1155	3484
249	1160	3482
250	1164	3475
251	1168	3469
252	1172	3462
253	1178	3460
254	1182	3453
255	1185	3446
256	1191	3444
257	1195	3437
258	1199	3431
259	1203	3424
260	1209	3425
261	1213	3418
262	1217	3412
263	1222	3407
264	1226	3402
265	1230	3395
266	1234	3388
267	1240	3387
268	1243	3380
269	1247	3373
270	1251	3366
271	1256	3364
272	1261	3358
273	1264	3351
274	1268	3344
275	1274	3344
276	1278	3337
277	1282	3330
278	1287	3327
279	1291	3321
280	1295	3315
281	1299	3309
282	1304	3305
283	1308	3300
284	1312	3293
285	1316	3287
286	1322	3284
287	1326	3278
288	1329	3271
289	1333	3265
290	1339	3264
291	1343	3258
292	1347	3251
293	1352	3247
294	1356	3242
295	1360	3235
296	1364	3229
297	1370	3228
298	1374	3222
299	1378	3215
300	1382	3209
301	1387	3207
302	1391	3200
303	1395	3194
304	1399	3188
305	1405	3186
306	1408	3180
307	1413	3174
308	1417	3170
309	1421	3164
310	1425	3158
311	1429	3152
312	1434	3149
313	1438	3142
314	1442	3137
315	1446	3130
316	1451	3127
317	1455	3121
318	1459	3115
319	1461	3106
320	1466	3102
321	1471	3097
322	1474	3091
323	1478	3085
324	1484	3082
325	1487	3076
326	1491	3070
327	1495	3064
328	1502	3063
329	1505	3057
330	1510	3052
331	1514	3048
332	1519	3042
333	1525	3041
334	1533	3044
335	1540	3044
336	1547	3045
337	1556	3047
338	1561	3043
339	1567	3043
340	1571	3037
341	1575	3031
342	1581	3028
343	1585	3022
344	1588	3016
345	1592	3010
346	1599	3009
347	1603	3003
348	1607	2998
349	1611	2992
350	1616	2988
351	1620	2982
352	1623	2976
353	1628	2971
354	1633	2967
355	1637	2961
356	1641	2957
357	1648	2955
358	1651	2949
359	1655	2943
360	1659	2937
361	1665	2935
362	1669	2929
363	1673	2923
364	1678	2920
365	1682	2914
366	1686	2908
367	1690	2902
368	1695	2899
369	1699	2893
370	1703	2887
371	1707	2881
372	1712	2878
373	1716	2873
374	1720	2866
375	1724	2862
376	1730	2859
377	1734	2853
378	1738	2848
379	1743	2844
380	1747	2839
381	1751	2833
382	1755	2827
383	1760	2824
384	1764	2818
385	1768	2812
386	1772	2807
387	1777	2803
388	1781	2798
389	1785	2793
390	1789	2787
391	1795	2784
392	1799	2779
393	1803	2773
394	1807	2769
395	1811	2763
396	1815	2758
397	1819	2752
398	1825	2750
399	1829	2744
400	1833	2739
401	1837	2733
402	1843	2730
403	1847	2724
404	1851	2719
405	1855	2714
406	1860	2711
407	1864	2705
408	1868	2699
409	1873	2696
410	1877	2690
411	1881	2684
412	1885	2679
413	1891	2677
414	1895	2671
415	1899	2666
416	1903	2661
417	1908	2657
418	1912	2651
419	1916	2646
420	1920	2641
421	1925	2637
422	1929	2631
423	1933	2626
424	1938	2622
425	1941	2616
426	1945	2611
427	1949	2605
428	1955	2602
429	1959	2597
430	1963	2591
431	1966	2586
432	1972	2582
433	1976	2577
434	1980	2571
435	1983	2566
436	1989	2563
437	1993	2557
438	1997	2552
439	2001	2547
440	2006	2543
441	2010	2538
442	2014	2533
443	2020	2530
444	2025	2526
445	2033	2525
446	2040	2524
447	2048	2523
448	2056	2523
449	2060	2518
450	2064	2513
451	2071	2511
452	2075	2506
453	2079	2501
454	2085	2497
455	2089	2492
456	2093	2487
457	2096	2481
458	2102	2478
459	2106	2472
460	2110	2467
461	2114	2462
462	2120	2459
463	2124	2453
464	2127	2448
465	2132	2443
466	2136	2438
467	2140	2433
468	2144	2427
469	2148	2423
470	2153	2418
471	2157	2413
472	2161	2408
473	2166	2404
474	2170	2399
475	2174	2393
476	2178	2388
477	2184	2385
478	2188	2380
479	2192	2375
480	2196	2370
481	2201	2365
482	2204	2360
483	2208	2354
484	2213	2349
485	2218	2346
486	2222	2340
487	2225	2335
488	2231	2331
489	2235	2326
490	2239	2321
491	2242	2315
492	2248	2312
493	2252	2307
494	2256	2302
495	2260	2296
496	2266	2293
497	2269	2288
498	2273	2282
499	2277	2277
500	2283	2274
501	2287	2269
502	2291	2264
503	2296	2260
504	2300	2254
505	2304	2249
506	2308	2244
507	2314	2241
508	2318	2236
509	2322	2231
510	2327	2227
511	2334	2225
512	2339	2220
513	2348	2220
514	2355	2218
515	2363	2217
516	2371	2215
517	2375	2210
518	2381	2206
519	2385	2201
520	2389	2196
521	2394	2192
522	2398	2187
523	2401	2181
524	2405	2176
525	2412	2173
526	2416	2168
527	2420	2163
528	2424	2158
529	2429	2154
530	2432	2148
531	2437	2144
532	2441	2139
533	2446	2134
534	2450	2129
535	2454	2124
536	2459	2120
537	2463	2115
538	2467	2110
539	2471	2105
540	2477	2101
541	2481	2096
542	2485	2091
543	2489	2086
544	2494	2082
545	2497	2077
546	2502	2072
547	2506	2067
548	2511	2063
549	2518	2060
550	2526	2058
551	2533	2055
552	2543	2056
553	2551	2054
554	2559	2052
555	2563	2047
556	2567	2042
557	2573	2038
558	2577	2033
559	2581	2028
560	2585	2023
561	2591	2019
562	2595	2014
563	2600	2010
564	2607	2007
565	2611	2002
566	2615	1997
567	2621	1993
568	2624	1988
569	2631	1984
570	2658	1997
571	2668	1996
572	2675	1994
573	2681	1990
574	2695	1992
575	2700	1987
576	2707	1984
577	2712	1980
578	2719	1977
579	2724	1972
580	2732	1970
581	2743	1970
582	2752	1968
583	2758	1964
584	2763	1960
585	2777	1962
586	2782	1957
587	2791	1955
588	2807	1958
589	2818	1958
590	2824	1955
591	2832	1952
592	2837	1947
593	2841	1942
594	2845	1936
595	2850	1932
596	2854	1927
597	2858	1921
598	2862	1916
599	2868	1912
600	2872	1907
601	2876	1901
602	2880	1896
603	2885	1891
604	2889	1886
605	2893	1881
606	2898	1876
607	2903	1871
608	2906	1866
609	2910	1860
610	2915	1856
611	2919	1851
612	2923	1845
613	2927	1840
614	2933	1836
615	2937	1831
616	2941	1826
617	2945	1820
618	2950	1816
619	2954	1810
620	2958	1805
621	2963	1800
622	2967	1795
623	2972	1790
624	2975	1785
625	2981	1781
626	2985	1775
627	2988	1770
628	2992	1765
629	2998	1761
630	3002	1755
631	3009	1752
632	3016	1749
633	3023	1745
634	3033	1743
635	3041	1740
636	3050	1738
637	3058	1735
638	3067	1733
639	3074	1729
640	3083	1726
641	3090	1723
642	3098	1720
643	3106	1717
644	3115	1714
645	3122	1711
646	3133	1709
647	3140	1705
648	3148	1702
649	3155	1698
650	3160	1694
651	3164	1689
652	3168	1683
653	3172	1678
654	3178	1673
655	3181	1668
656	3185	1663
657	3190	1658
658	3195	1653
659	3199	1648
660	3203	1642
661	3207	1637
662	3212	1632
663	3217	1627
664	3230	1627
665	3237	1623
666	3243	1619
667	3248	1614
668	3253	1609
669	3261	1606
670	3266	1601
671	3269	1595
672	3276	1592
673	3282	1587
674	3287	1582
675	3294	1579
676	3299	1574
677	3306	1570
678	3311	1565
679	3316	1560
680	3320	1555
681	3327	1551
682	3331	1546
683	3337	1541
684	3343	1537
685	3347	1532
686	3351	1527
687	3358	1523
688	3363	1518
689	3367	1513
690	3375	1509
691	3378	1503
692	3382	1498
693	3389	1494
694	3393	1489
695	3399	1484
696	3404	1480
697	3409	1475
698	3415	1470
699	3422	1466
700	3425	1461
701	3431	1456
702	3438	1452
703	3443	1447
704	3446	1442
705	3453	1438
706	3458	1433
707	3464	1429
708	3471	1424
709	3475	1419
710	3483	1415
711	3492	1412
712	3498	1408
713	3506	1404
714	3513	1400
715	3521	1396
716	3530	1393
717	3541	1390
718	3548	1386
719	3556	1383
720	3564	1379
721	3574	1376
722	3602	1380
723	3609	1376
724	3616	1371
725	3625	1368
726	3631	1363
727	3640	1360
728	3645	1355
729	3655	1351
730	3665	1348
731	3670	1343
732	3674	1338
733	3678	1332
734	3684	1328
735	3688	1322
736	3692	1317
737	3696	1312
738	3701	1307
739	3705	1301
740	3709	1296
741	3713	1291
742	3718	1286
743	3722	1280
744	3726	1275
745	3731	1270
746	3735	1265
747	3739	1259
748	3743	1254
749	3750	1250
750	3753	1244
751	3757	1239
752	3762	1234
753	3766	1228
754	3770	1223
755	3774	1218
756	3778	1212
757	3783	1207
758	3787	1202
759	3791	1197
760	3796	1192
761	3800	1187
762	3804	1181
763	3808	1176
764	3814	1171
765	3818	1166
766	3822	1161
767	3826	1155
768	3831	1150
769	3835	1145
770	3839	1140
771	3844	1135
772	3848	1130
773	3854	1125
774	3859	1120
775	3864	1115
776	3868	1110
777	3872	1105
778	3878	1100
779	3882	1094
780	3885	1089
781	3889	1084
782	3895	1079
783	3898	1074
784	3902	1068
785	3906	1063
786	3912	1058
787	3916	1053
788	3920	1048
789	3924	1043
790	3929	1038
791	3933	1032
792	3936	1027
793	3941	1022
794	3946	1017
795	3950	1012
796	3953	1007
797	3958	1002
798	3962	996
799	3966	991
800	3970	986
801	3976	981
802	3980	976
803	3984	971
804	3990	966
805	3998	962
806	4005	957
807	4013	953
808	4021	949
809	4029	945
810	4036	940
811	4044	936
812	4051	931
813	4059	927
814	4067	923
815	4075	919
816	4083	914
817	4090	910
818	4097	905
819	4102	900
820	4108	895
821	4112	890
822	4116	885
823	4120	880
824	4124	874
825	4131	870
826	4140	866
827	4145	861
828	4148	855
829	4154	850
830	4158	845
831	4162	840
832	4166	835
833	4172	830
834	4176	825
835	4180	820
836	4184	814
837	4189	809
838	4193	804
839	4197	799
840	4202	794
841	4206	789
842	4210	784
843	4214	778
844	4219	774
845	4223	768
846	4227	763
847	4231	758
848	4239	753
849	4246	749
850	4254	744
851	4258	739
852	4261	734
853	4267	729
854	4271	724
855	4275	719
856	4279	714
857	4285	709
858	4288	704
859	4292	698
860	4296	693
861	4302	688
862	4306	683
863	4310	678
864	4314	673
865	4319	668
866	4323	663
867	4327	658
868	4331	653
869	4336	648
870	4340	642
871	4344	637
872	4349	632
873	4353	627
874	4357	622
875	4361	617
876	4367	612
877	4371	607
878	4375	602
879	4379	597
880	4384	592
881	4388	587
882	4392	581
883	4396	576
884	4401	571
885	4405	566
886	4408	561
887	4414	556
888	4418	551
889	4422	546
890	4425	541
891	4431	536
892	4435	531
893	4439	526
894	4443	521
895	4448	516
896	4453	511
897	4456	506
898	4460	501
899	4466	496
900	4470	491
901	4473	486
902	4478	481
903	4484	476
904	4492	471
905	4499	466
906	4507	462
907	4516	457
908	4523	452
909	4532	448
910	4540	443
911	4548	438
912	4555	434
913	4564	429
914	4573	424
915	4582	420
916	4589	415
917	4598	410
918	4603	405
919	4608	400
920	4613	395
921	4617	390
922	4620	385
923	4626	380
924	4630	375
925	4634	370
926	4638	365
927	4644	360
928	4648	355
929	4652	350
930	4660	345
931	4668	340
932	4674	335
933	4678	330
934	4682	325
935	4686	320
936	4692	315
937	4696	310
938	4700	305
939	4703	300
940	4710	295
941	4713	290
942	4717	285
943	4722	280
944	4727	275
945	4731	270
946	4735	265
947	4740	260
948	4744	254
949	4748	249
950	4752	244
951	4758	239
952	4762	234
953	4766	229
954	4770	224
955	4775	219
956	4778	214
957	4782	209
958	4787	204
959	4792	199
960	4795	194
961	4799	189
962	4804	184
963	4809	179
964	4813	174
965	4816	169
966	4822	164
967	4826	159
968	4830	154
969	4834	149
970	4840	144
971	4844	139
972	4847	134
973	4852	129
974	4857	124
975	4861	119
976	4864	114
977	4869	109
978	4873	104
979	4876	99
980	4880	94
981	4885	89
982	4890	84
983	4893	79
984	4897	74
985	4903	69
986	4907	64
987	4911	59
988	4915	54
989	4922	49
990	4926	44
991	4930	39
992	4936	34
993	4941	29
994	4945	24
995	4951	19
996	4955	14
997	4960	9
998	4964	4
999	4971	0
